timestamp,speed,acceleration,gradient,acc_x,acc_y,acc_z,jerk,turning_rate,power_W,energy_J,energy_factor,driver_cluster
1747221671.0,0.7937877777777778,0.0,0.06336529491136646,-1.800781,-0.957031,9.539062,0.0,0.076172,31302.869474478284,31.302869474478285,31302.869474478284,0
1747221672.0,1.122517777777778,5.0,-0.16853495184191725,-2.261719,-1.492188,9.425781,-6.218392656003413,0.212891,9809.881268480874,9.809881268480874,9809.881268480874,2
1747221673.0,2.039772222222222,5.0,-0.10291555780500151,-1.914062,-2.070312,9.425781,-10.0,0.451172,21026.93496919852,21.026934969198518,21026.93496919852,2
1747221674.0,2.899408888888889,5.0,0.0,-1.53125,-2.183594,9.847656,1.1764296989401999,0.474609,37179.11162674195,37.17911162674195,37179.11162674195,2
1747221675.0,3.2564333333333333,5.0,0.16062825897041685,-2.070312,-0.652344,9.121094,10.0,0.183594,54413.70573745787,54.413705737457875,54413.70573745787,2
1747221676.0,3.903604444444444,5.0,0.0258967045983415,-2.757812,-0.882812,9.226562,8.199753212590199,0.042969,52547.13928426112,52.54713928426112,52547.13928426112,1
1747221677.0,4.713339722222222,5.0,0.04716448742066003,-2.453125,-0.613281,9.808594,-10.0,0.0,65915.68305148583,65.91568305148583,65915.68305148583,1
1747221678.0,5.571433055555555,5.0,0.01874501093333265,-2.605469,-0.535156,9.304688,-5.645210927034485,0.001953,74065.59888346514,74.06559888346514,74065.59888346514,1
1747221679.0,6.567397777777777,5.0,-0.014308529720949568,-2.070312,-0.460938,10.230469,-9.00065118179312,0.001953,82022.31065653928,82.02231065653929,82022.31065653928,1
1747221680.0,7.298937499999999,5.0,0.02546954305701925,-1.378906,-0.535156,9.730469,-10.0,0.007812,98313.76103195007,98.31376103195007,98313.76103195007,1
1747221681.0,7.2896777777777775,-5.0,0.01661186852165818,-1.300781,0.957031,10.035156,10.0,0.119141,0.0,0.0,0.0,0
1747221682.0,6.682118888888889,-5.0,0.03963983495884412,-1.074219,1.417969,9.925781,3.5365464650292813,0.291016,0.0,0.0,0.0,0
1747221683.0,5.760234166666667,-5.0,0.04705002071251405,-1.570312,-0.496094,9.464844,-1.8231668646418318,0.123047,0.0,0.0,0.0,0
1747221684.0,5.896048055555555,5.0,0.018216364234956182,-1.226562,-0.917969,9.386719,-10.0,0.105469,78315.47795482505,78.31547795482506,78315.47795482505,1
1747221685.0,5.718050000000001,-5.0,0.015477926229390246,-1.109375,-1.074219,9.582031,-10.0,0.142578,0.0,0.0,0.0,0
1747221686.0,5.362568888888888,-5.0,-0.02083610702116183,-0.535156,-1.035156,9.421875,-0.7867540944318329,0.123047,0.0,0.0,0.0,0
1747221687.0,4.767356944444445,-5.0,-0.022383567535339474,-0.078125,-0.882812,9.730469,8.785879953671031,0.103516,0.0,0.0,0.0,0
1747221688.0,3.480731111111111,-5.0,0.07371544664723208,-0.269531,-0.421875,9.5,3.389341460148017,0.070312,0.0,0.0,0.0,0
1747221689.0,2.406571111111111,-5.0,-0.034413238182856416,0.269531,-0.460938,9.648438,-8.281792709721328,0.041016,0.0,0.0,0.0,0
1747221690.0,1.0453511111111111,-5.0,0.07195494522373723,-1.378906,-0.765625,9.652344,0.5840852381335367,0.021484,0.0,0.0,0.0,0
1747221691.0,0.7582911111111111,-5.0,0.05266337867824356,-1.839844,-0.996094,9.582031,0.0,0.03125,0.0,0.0,0.0,0
1747221692.0,1.312347777777778,5.0,0.08753184294834411,-2.222656,-1.417969,9.542969,-6.398179127688533,0.195312,19628.794675013392,19.628794675013392,19628.794675013392,2
1747221693.0,2.2018222222222223,5.0,-0.20557361286180778,-2.070312,-2.183594,9.308594,4.930139535548226,0.369141,17342.163743180172,17.342163743180173,17342.163743180172,2
1747221694.0,3.1057011111111112,5.0,-0.034665150105182736,-1.878906,-2.03125,9.460938,10.0,0.414062,37186.94459160921,37.18694459160921,37186.94459160921,2
1747221695.0,4.164942222222222,5.0,-0.025892914255503368,-2.261719,-1.109375,9.199219,10.0,0.291016,50781.125253786326,50.78112525378633,50781.125253786326,2
1747221696.0,5.078595555555555,5.0,-0.021645911617806903,-2.222656,-1.226562,9.464844,1.180028803147626,0.142578,62470.83343384654,62.47083343384654,62470.83343384654,1
1747221697.0,5.915082222222222,5.0,0.0,-2.105469,-1.074219,10.652344,10.0,0.019531,75927.11389593195,75.92711389593195,75927.11389593195,1
1747221698.0,6.589004166666666,5.0,0.0,-1.648438,0.152344,8.578125,10.0,0.021484,84605.25913248933,84.60525913248934,84605.25913248933,1
1747221699.0,6.473254722222221,-5.0,0.01496772831505459,-1.417969,-0.726562,9.464844,-5.74387236608789,0.009766,0.0,0.0,0.0,0
1747221700.0,6.387342222222222,-5.0,-0.046765545317376984,-1.109375,-0.460938,9.808594,10.0,0.005859,0.0,0.0,0.0,0
1747221701.0,5.832771111111112,-5.0,-0.08406043907223344,-1.339844,-0.269531,9.609375,-10.0,0.027344,0.0,0.0,0.0,0
1747221702.0,5.061618888888888,-5.0,-0.21282751548931575,-1.035156,0.804688,10.113281,10.0,0.294922,0.0,0.0,0.0,0
1747221703.0,4.691733333333333,-5.0,-0.10961504271437995,1.1875,-0.957031,10.109375,-10.0,0.011719,0.0,0.0,0.0,0
1747221704.0,3.199844444444444,-5.0,-0.29222730087756005,-1.074219,-0.496094,9.652344,-3.716144377750884,0.019531,0.0,0.0,0.0,0
1747221705.0,2.1838166666666665,-5.0,0.08151968678128176,-1.339844,-1.109375,9.539062,0.0,0.003906,0.0,0.0,0.0,0
