timestamp,speed,acceleration,gradient,acc_x,acc_y,acc_z,jerk,turning_rate,energy_factor,driver_cluster
1747221572.0,0.31484,0.0,0.0,0.804688,-4.0625,9.609375,0.0,1.742188,207064679.6125792,2
1747221573.0,1.261212,946.372,-1.9810873769617388,4.597656,3.410156,6.589844,0.0,0.615234,207557414.1829362,2
1747221574.0,0.292616,-968.596,-3.1830907275106095,2.566406,5.402344,8.195312,0.0,0.226562,206945432.00775096,2
1747221575.0,0.70376,411.14400000000006,-1.9148190736558823,1.265625,4.636719,8.421875,0.0,0.769531,207182691.48218793,2
1747221576.0,0.261132,-442.62800000000004,0.3229441880237612,0.0,2.679688,9.304688,0.0,0.095703,207016843.96968457,1
1747221577.0,0.035188,-225.94399999999996,3.9119571164083755,-0.34375,2.605469,9.265625,0.0,0.027344,207061489.9800481,1
1747221578.0,0.051856,16.668000000000003,-3.3531180741477082,-0.230469,2.796875,9.078125,0.0,0.015625,207064820.68902618,1
1747221579.0,0.031484,-20.372,-5.029635197455191,-0.152344,2.335938,9.34375,0.0,0.033203,207064269.74176738,1
1747221580.0,0.540784,509.30000000000007,0.0,2.375,1.457031,8.882812,0.0,0.244141,207179450.49111173,2
1747221581.0,0.246316,-294.4680000000001,-3.353116965906321,2.070312,0.613281,9.503906,0.0,0.089844,207033480.05741662,1
1747221582.0,0.0926,-153.716,-1.3039852744882365,1.683594,0.917969,9.425781,0.0,0.003906,207058434.65009442,1
1747221583.0,0.51856,425.96,-1.6765375260769018,0.113281,3.945312,8.234375,0.0,0.041016,207154892.37152395,1
1747221584.0,1.057492,538.932,0.7482422223053778,-0.765625,-3.484375,9.199219,0.0,1.583984,207304762.6047542,2
1747221585.0,0.498188,-559.304,0.12679176122655317,0.34375,0.496094,9.609375,0.0,0.193359,206948845.89453334,1
1747221586.0,0.192608,-305.58,-0.127893761387762,-0.574219,0.496094,8.960938,0.0,0.042969,207040049.34561995,1
1747221587.0,0.057412,-135.196,0.5428740439067377,-1.109375,-0.535156,9.613281,0.0,0.21875,207061543.41255817,2
1747221588.0,0.43522,377.808,0.0,0.613281,2.375,8.882812,0.0,0.779297,207133198.3421153,2
1747221589.0,0.292616,-142.604,-2.5148180858130753,-0.996094,-1.074219,9.078125,0.0,0.455078,207046170.4508714,2
1747221590.0,0.20372,-88.89599999999997,-0.49062213074917743,-0.191406,0.691406,9.964844,0.0,0.123047,207056760.03416637,1
1747221591.0,0.248168,44.447999999999986,3.9119571164083755,-0.691406,0.421875,9.421875,0.0,0.001953,207070245.0047174,1
1747221592.0,0.059264,-188.90400000000002,0.3848090027888892,-0.765625,0.726562,9.539062,0.0,0.001953,207060088.14990383,1
1747221593.0,0.24076,181.49599999999998,0.5534836567979482,-0.84375,-0.460938,9.421875,0.0,0.128906,207083357.71017483,1
1747221594.0,0.325952,85.19200000000002,0.0,0.039062,0.957031,9.542969,0.0,1.039062,207076250.4125661,2
1747221595.0,0.563008,237.05599999999993,0.0,-0.765625,0.078125,9.84375,0.0,0.013672,207120302.9777355,1
1747221596.0,0.198164,-364.84399999999994,0.0,-0.917969,-0.957031,9.421875,0.0,0.570312,207034548.8514986,2
1747221597.0,0.651904,453.74,-0.39195042536361374,-1.148438,-1.457031,9.226562,0.0,0.244141,207186970.63096058,2
1747221598.0,0.124084,-527.82,-1.2679429711249621,-0.230469,-1.339844,9.6875,0.0,0.011719,207036979.55072474,1
1747221599.0,0.085192,-38.891999999999996,-0.5320826932690592,-0.421875,-1.761719,9.613281,0.0,0.113281,207063122.77261564,1
1747221600.0,0.15742,72.228,2.514815728586768,-0.421875,-1.570312,9.6875,0.0,0.064453,207070001.44519022,1
1747221601.0,0.337064,179.64399999999998,1.6765577903029125,-0.269531,-1.417969,9.582031,0.0,0.027344,207091085.1138847,1
1747221602.0,0.309284,-27.77999999999997,0.0,-0.152344,-1.953125,9.613281,0.0,0.048828,207061099.3550332,1
1747221603.0,0.153716,-155.568,2.514815728586768,-0.113281,-1.609375,10.113281,0.0,0.339844,207055285.8778089,2
1747221604.0,0.279652,125.93600000000002,0.0,-1.074219,-0.996094,9.199219,0.0,0.025391,207079352.01530927,1
1747221605.0,0.10186,-177.792,-0.5588386256880196,-0.269531,-1.378906,9.609375,0.0,0.042969,207056918.7086137,1
1747221606.0,0.088896,-12.964000000000002,0.9577488485037788,-0.496094,-1.417969,9.648438,0.0,0.09375,207064437.43983355,1
1747221607.0,0.177792,88.896,0.8943357621188932,-0.078125,0.039062,9.582031,0.0,0.402344,207071739.7959245,2
1747221608.0,0.161124,-16.668000000000017,0.0,-1.226562,-0.574219,9.652344,0.0,0.027344,207063552.4380811,1
1747221609.0,0.312988,151.864,1.0261594786052912,-1.1875,-0.421875,9.6875,0.0,0.001953,207085395.55956247,1
1747221610.0,0.266688,-46.300000000000004,0.6118418118812623,-1.265625,-0.496094,9.652344,0.0,0.003906,207060099.03529656,1
1747221611.0,0.061116,-205.57199999999997,0.0,-1.109375,-0.691406,9.691406,0.0,0.001953,207059431.23907173,1
1747221612.0,0.088896,27.780000000000005,0.0,-1.109375,-0.574219,9.648438,0.0,0.001953,207065696.5774156,1
1747221613.0,0.066672,-22.224000000000007,0.0,-1.074219,-0.652344,9.6875,0.0,0.001953,207064049.04256427,1
1747221614.0,0.077784,11.11200000000001,0.0,-1.265625,-0.652344,9.613281,0.0,0.001953,207065027.15566966,1
1747221615.0,0.048152,-29.632000000000005,0.0,-1.1875,-0.726562,9.691406,0.0,0.0,207064070.92448282,1
1747221616.0,0.196312,148.16,0.0,-1.148438,-0.535156,9.578125,0.0,0.019531,207076792.30822608,1
1747221617.0,0.116676,-79.63599999999998,0.8382590926734131,-1.109375,-0.804688,9.609375,0.0,0.0,207061102.5032648,1
1747221618.0,0.062968,-53.708000000000006,0.0,-1.226562,-0.691406,9.613281,0.0,0.001953,207063257.10956922,1
1747221619.0,0.146308,83.33999999999999,0.0,-1.1875,-0.765625,9.652344,0.0,0.009766,207069751.20226678,1
1747221620.0,0.068524,-77.78399999999999,0.0,-1.339844,-0.691406,9.6875,0.0,0.001953,207062445.66085514,1
1747221621.0,0.0926,24.076,0.0,-1.226562,-0.726562,9.609375,0.0,0.001953,207065596.735371,1
1747221622.0,0.179644,87.044,0.0,-1.226562,-0.691406,9.613281,0.0,0.001953,207071187.81685492,1
1747221623.0,0.192608,12.964000000000002,0.0,-1.226562,-0.691406,9.652344,0.0,0.001953,207065713.52148113,1
1747221624.0,0.096304,-96.304,0.0,-1.226562,-0.691406,9.613281,0.0,0.003906,207060803.64135316,1
1747221625.0,0.059264,-37.040000000000006,0.0,-1.265625,-0.726562,9.652344,0.0,0.0,207063751.39057422,1
1747221626.0,0.085192,25.928000000000004,0.0,-1.1875,-0.652344,9.648438,0.0,0.0,207065587.76696688,1
1747221627.0,0.094452,9.259999999999991,0.0,-1.265625,-0.691406,9.609375,0.0,0.003906,207065032.32874873,1
1747221628.0,0.12964,35.18800000000001,0.0,-1.265625,-0.652344,9.652344,0.0,0.001953,207066570.50972933,1
1747221629.0,0.20372,74.08000000000001,0.0,-1.226562,-0.652344,9.609375,0.0,0.0,207070961.8650764,1
1747221630.0,0.094452,-109.26800000000001,0.0,-1.226562,-0.652344,9.609375,0.0,0.0,207060367.65930873,1
1747221631.0,0.094452,0.0,0.0,-1.226562,-0.691406,9.652344,0.0,0.0,207064667.90144876,1
1747221632.0,0.159272,64.82000000000001,0.0,-1.226562,-0.691406,9.613281,0.0,0.0,207068973.01711586,1
1747221633.0,0.211128,51.85600000000001,0.0,-1.226562,-0.691406,9.6875,0.0,0.001953,207069235.87371394,1
1747221634.0,0.177792,-33.336000000000006,0.0,-1.226562,-0.652344,9.648438,0.0,0.005859,207062202.7990894,1
1747221635.0,0.088896,-88.896,0.0,-1.1875,-0.652344,9.648438,0.0,0.005859,207061374.89837557,1
1747221636.0,0.150012,61.116,0.0,-1.226562,-0.652344,9.609375,0.0,0.003906,207068490.90937018,1
1747221637.0,0.11112,-38.89200000000001,0.0,-1.226562,-0.652344,9.609375,0.0,0.003906,207062868.08754918,1
1747221638.0,0.127788,16.668000000000017,0.0,-1.148438,-0.652344,9.652344,0.0,0.003906,207065557.16051123,1
1747221639.0,0.131492,3.703999999999985,0.0,-1.265625,-0.691406,9.609375,0.0,0.001953,207064872.8056608,1
1747221640.0,0.133344,1.8519999999999925,0.0,-1.1875,-0.613281,9.582031,0.0,0.015625,207064772.86520565,1
1747221641.0,0.035188,-98.15599999999999,0.0,-1.265625,-0.691406,9.648438,0.0,0.035156,207063225.6217477,1
1747221642.0,0.053708,18.520000000000003,0.0,-1.226562,-0.652344,9.691406,0.0,0.003906,207065080.18314183,1
1747221643.0,0.122232,68.524,0.0,-1.265625,-0.652344,9.578125,0.0,0.003906,207068159.304937,1
1747221644.0,0.10186,-20.371999999999986,0.0,-1.1875,-0.613281,9.609375,0.0,0.009766,207063803.67345986,1
1747221645.0,0.098156,-3.7040000000000126,0.0,-1.148438,-0.652344,9.613281,0.0,0.003906,207064516.61084428,1
1747221646.0,0.448184,350.028,0.0,-0.421875,-0.652344,9.769531,0.0,0.003906,207130052.0941356,1
1747221647.0,2.511312,2063.128,-1.0059278708449986,-1.53125,-0.691406,9.582031,0.0,0.011719,209216293.1161857,1
1747221648.0,2.766888,255.57599999999957,-0.5130829440322676,-1.265625,-0.726562,9.613281,0.0,0.013672,207354276.9066288,1
